,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min
100,2,Main,TSM,Xpecial,2,0,2,0.0,0.0,3.5,9.5,2.71,11.5,0.32,6.3,173.0
101,3,Main,Cloud9,Balls,3,1,2,33.3,3.67,3.0,5.33,3.0,212.0,6.35,10.9,326.0
102,3,Main,Cloud9,Hai,3,1,2,33.3,1.67,5.67,5.33,1.24,215.33,6.45,10.4,311.0
103,3,Main,Cloud9,LemonNation,3,1,2,33.3,0.67,5.33,8.33,1.69,25.67,0.77,6.9,206.0
104,3,Main,Cloud9,Meteos,3,1,2,33.3,2.67,3.0,4.67,2.44,181.33,5.43,10.2,306.0
105,3,Main,Cloud9,Sneaky,3,1,2,33.3,2.67,3.0,6.0,2.89,229.0,6.86,11.1,334.0
106,3,Main,Fnatic,Cyanide,15,10,5,66.7,3.2,2.53,11.07,5.63,90.0,2.81,8.6,269.0
107,3,Main,Fnatic,Puszu,15,10,5,66.7,6.4,1.8,9.67,8.93,225.0,7.03,12.2,380.0
108,3,Main,Fnatic,sOAZ,15,10,5,66.7,3.47,1.93,9.53,6.72,200.53,6.26,10.3,322.0
109,3,Main,Fnatic,xPeke,15,10,5,66.7,6.87,2.4,8.07,6.22,252.87,7.9,12.7,396.0
110,3,Main,Fnatic,YellOwStaR,15,10,5,66.7,2.0,1.93,10.87,6.66,48.47,1.51,7.7,239.0
111,3,Main,Gamania_Bears,Maple,2,0,2,0.0,1.5,4.5,2.5,0.89,158.0,5.25,7.5,247.0
112,3,Main,Gamania_Bears,NL,2,0,2,0.0,1.5,5.5,3.0,0.82,197.0,6.54,8.4,279.0
113,3,Main,Gamania_Bears,Steak,2,0,2,0.0,0.5,5.0,1.5,0.4,188.0,6.24,7.6,252.0
114,3,Main,Gamania_Bears,SwordArt,2,0,2,0.0,1.0,4.5,2.5,0.78,21.5,0.71,5.4,179.0
115,3,Main,Gamania_Bears,Winds,2,0,2,0.0,2.0,4.5,3.0,1.11,97.5,3.24,6.5,214.0
116,3,Main,Gambit_Gaming,Alex Ich,12,7,5,58.3,5.08,2.67,4.58,3.63,296.42,8.82,13.1,389.0
117,3,Main,Gambit_Gaming,Darien,12,7,5,58.3,1.83,2.17,6.17,3.69,226.25,6.74,10.6,317.0
118,3,Main,Gambit_Gaming,Diamondprox,12,7,5,58.3,2.0,2.83,7.25,3.26,131.0,3.9,8.9,266.0
119,3,Main,Gambit_Gaming,Genja,12,7,5,58.3,3.67,2.0,5.42,4.54,239.75,7.14,11.4,339.0
120,3,Main,Gambit_Gaming,Voidle,12,7,5,58.3,0.67,3.33,7.75,2.53,28.83,0.86,7.2,213.0
121,3,Main,GamingGear_2e-eu,Alunir,8,1,7,12.5,1.25,3.88,3.63,1.26,103.0,3.47,6.7,225.0
122,3,Main,GamingGear_2e-eu,DeadlyBrother,8,1,7,12.5,2.63,3.63,2.13,1.31,206.13,6.95,9.0,304.0
