,season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
214,4,Main,Pantheon,3,3.8,0,3,2,1,2,33.3,5.0,5.0,3.67,1.73,85.0,3.05,8.3,299.0,60.5,34.9,19.1
215,4,Main,Blitzcrank,3,3.8,0,3,1,0,3,0.0,1.33,6.33,7.0,1.32,23.33,0.8,6.3,216.0,71.4,11.4,15.7
216,4,Main,Sona,3,3.8,0,3,2,0,3,0.0,0.33,4.0,4.33,1.17,12.0,0.4,6.2,207.0,73.7,5.3,14.3
217,4,Main,Rammus,3,3.8,1,2,2,2,0,100.0,2.0,3.0,11.5,4.5,97.5,2.62,10.7,286.0,71.1,10.5,16.2
218,4,Main,Evelynn,2,2.6,0,2,2,2,0,100.0,3.0,1.0,12.0,15.0,113.5,2.97,12.8,334.0,63.8,12.8,18.8
219,4,Main,Caitlyn,2,2.6,0,2,1,1,1,50.0,5.5,2.0,4.0,4.75,487.5,9.43,21.4,414.0,63.3,36.7,25.1
220,4,Main,Graves,2,2.6,0,2,2,1,1,50.0,3.5,2.5,6.0,3.8,252.5,7.62,12.0,362.0,51.4,18.9,22.3
221,4,Main,Singed,2,2.6,0,2,1,1,1,50.0,3.5,2.5,13.0,6.6,277.5,8.23,13.3,395.0,70.2,14.9,22.0
222,4,Main,Ziggs,2,2.6,0,2,2,1,1,50.0,2.0,1.5,5.0,4.67,354.5,8.43,14.7,348.0,50.0,14.3,22.6
223,4,Main,Ezreal,2,2.6,0,2,2,0,2,0.0,3.0,1.0,2.0,5.0,226.5,6.37,10.8,305.0,47.6,28.6,22.1
224,4,Main,Akali,1,1.3,0,1,1,1,0,100.0,9.0,0.0,8.0,17.0,188.0,6.52,12.8,444.0,70.8,37.5,21.6
225,4,Main,Fiddlesticks,1,1.3,0,1,1,1,0,100.0,5.0,4.0,10.0,3.75,112.0,2.6,12.3,286.0,75.0,25.0,17.9
226,4,Main,Katarina,1,1.3,0,1,1,1,0,100.0,12.0,2.0,16.0,14.0,195.0,6.65,14.7,501.0,71.8,30.8,21.9
227,4,Main,Lissandra,1,1.3,0,1,1,1,0,100.0,4.0,2.0,11.0,7.5,363.0,9.66,16.6,442.0,57.7,15.4,22.4
228,4,Main,Riven,1,1.3,0,1,1,1,0,100.0,0.0,2.0,4.0,2.0,345.0,7.62,16.3,360.0,36.4,0.0,21.3
229,4,Main,Swain,1,1.3,0,1,1,1,0,100.0,1.0,8.0,9.0,1.25,211.0,4.17,13.6,269.0,47.6,4.8,16.1
230,4,Main,Galio,1,1.3,0,1,1,0,1,0.0,0.0,7.0,3.0,0.43,165.0,5.07,7.9,243.0,27.3,0.0,17.0
231,4,Main,Nunu,1,1.3,0,1,1,0,1,0.0,0.0,5.0,2.0,0.4,93.0,2.8,7.4,223.0,100.0,0.0,16.7
232,4,Main,Varus,1,1.3,0,1,1,0,1,0.0,3.0,3.0,0.0,1.0,221.0,7.67,9.1,316.0,100.0,100.0,26.9
233,4,Main,Vi,1,1.3,0,1,1,0,1,0.0,0.0,7.0,1.0,0.14,112.0,3.23,7.5,216.0,50.0,0.0,16.9
234,4,Main,Gragas,1,1.3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,5,Main,Gangplank,73,100.0,69,4,4,4,0,100.0,3.5,1.25,6.25,7.8,225.25,7.77,12.6,434.0,66.1,23.7,23.4
236,5,Main,Mordekaiser,72,98.6,68,4,4,4,0,100.0,6.5,1.0,11.25,17.75,246.25,7.37,14.0,420.0,84.5,31.0,22.6
237,5,Main,Elise,71,97.3,32,39,14,26,13,66.7,2.46,2.36,6.41,3.76,107.56,3.0,10.8,301.0,62.1,17.2,17.9
238,5,Main,Lulu,69,94.5,43,26,16,13,13,50.0,1.96,1.96,7.15,4.65,270.85,7.5,12.4,344.0,74.3,16.0,21.5
239,5,Main,Rek'Sai,56,76.7,19,37,10,15,22,40.5,1.35,2.54,7.54,3.5,122.62,3.35,11.0,300.0,72.6,11.0,18.4
240,5,Main,Kalista,54,74.0,25,29,13,14,15,48.3,4.34,2.24,4.9,4.12,295.76,8.39,13.5,383.0,74.7,35.1,23.7
241,5,Main,Darius,53,72.6,15,38,16,19,19,50.0,3.61,3.34,3.76,2.2,235.82,6.83,11.8,341.0,56.9,27.8,20.8
242,5,Main,Azir,42,57.5,28,14,8,10,4,71.4,3.5,2.64,6.43,3.76,316.43,8.92,14.0,394.0,71.6,25.3,22.9
243,5,Main,Thresh,35,47.9,6,29,14,13,16,44.8,0.76,3.03,8.24,2.97,33.48,0.95,7.7,219.0,70.0,5.9,13.4
244,5,Main,Tahm Kench,34,46.6,20,14,7,10,4,71.4,0.79,2.43,9.79,4.35,40.07,1.09,8.6,232.0,63.8,4.7,13.7
245,5,Main,Alistar,33,45.2,3,30,11,15,15,50.0,0.3,2.73,9.67,3.65,40.43,1.12,8.2,227.0,80.2,2.4,13.9
246,5,Main,Jinx,33,45.2,4,29,13,15,14,51.7,5.07,2.34,5.21,4.38,332.79,8.83,15.3,407.0,73.0,36.0,24.8
247,5,Main,Gragas,33,45.2,4,29,12,13,16,44.8,1.28,3.03,6.97,2.72,109.76,3.02,10.1,278.0,64.9,10.1,17.1
248,5,Main,Lee Sin,28,38.4,10,18,7,9,9,50.0,2.5,2.78,8.0,3.78,91.67,2.77,9.7,292.0,75.3,17.9,17.8
249,5,Main,Twisted Fate,28,38.4,16,12,8,7,5,58.3,3.83,2.58,6.92,4.16,275.0,8.37,13.8,420.0,75.9,27.1,24.9
250,5,Main,Tristana,27,37.0,0,27,11,11,16,40.7,3.3,2.15,4.19,3.48,297.7,8.48,13.5,384.0,71.1,31.3,24.3
251,5,Main,Braum,24,32.9,3,21,14,8,13,38.1,0.48,2.9,8.1,2.95,40.14,1.18,7.6,223.0,78.6,4.4,13.9
252,5,Main,Fiora,23,31.5,4,19,6,11,8,57.9,3.63,2.95,4.05,2.61,294.37,8.15,13.7,380.0,61.3,29.0,22.9
253,5,Main,Gnar,21,28.8,2,19,12,8,11,42.1,2.63,3.26,6.63,2.84,237.58,6.58,12.0,333.0,65.7,18.7,20.4
254,5,Main,Kennen,21,28.8,5,16,10,8,8,50.0,2.75,3.69,6.69,2.56,197.81,5.11,12.3,318.0,57.2,16.7,18.7
255,5,Main,Morgana,20,27.4,2,18,8,8,10,44.4,0.33,2.72,8.61,3.29,36.33,0.99,8.8,239.0,72.5,2.7,14.7
256,5,Main,Sivir,19,26.0,0,19,8,9,10,47.4,3.37,2.37,6.47,4.16,324.63,9.05,14.6,408.0,77.9,26.7,24.5
257,5,Main,Viktor,18,24.7,1,17,8,8,9,47.1,3.76,1.82,4.12,4.32,330.71,9.33,13.9,392.0,62.0,29.6,23.9
258,5,Main,Veigar,18,24.7,10,8,5,3,5,37.5,3.88,3.0,5.38,3.08,297.5,8.17,13.4,367.0,78.7,33.0,23.1
259,5,Main,LeBlanc,17,23.3,6,11,6,6,5,54.5,5.09,1.45,4.91,6.88,314.91,8.16,14.5,375.0,65.5,33.3,22.5
260,5,Main,Shen,15,20.5,3,12,5,10,2,83.3,0.92,2.75,11.08,4.36,69.92,1.87,9.6,258.0,69.6,5.3,14.5
261,5,Main,Malphite,14,19.2,4,10,7,3,7,30.0,1.8,1.8,5.2,3.89,247.5,6.29,12.1,307.0,57.9,14.9,19.6
262,5,Main,Ashe,13,17.8,4,9,3,5,4,55.6,3.0,1.56,6.44,6.07,293.11,8.6,13.3,390.0,65.4,20.8,23.1
263,5,Main,Orianna,12,16.4,0,12,6,3,9,25.0,2.58,3.08,4.5,2.3,362.25,9.32,14.8,381.0,69.7,25.4,24.1
264,5,Main,Olaf,12,16.4,2,10,7,4,6,40.0,4.3,2.6,4.6,3.42,236.7,6.67,12.0,339.0,65.9,31.9,21.0
265,5,Main,Yasuo,12,16.4,6,6,6,2,4,33.3,3.33,4.0,6.5,2.46,302.17,8.49,13.3,374.0,79.7,27.0,23.8
266,5,Main,Riven,10,13.7,0,10,5,5,5,50.0,3.4,3.6,4.1,2.08,286.8,8.2,13.3,380.0,59.5,27.0,22.5
267,5,Main,Annie,10,13.7,1,9,7,4,5,44.4,1.22,3.0,8.0,3.07,18.89,0.53,8.3,231.0,75.5,10.0,14.4
268,5,Main,Renekton,10,13.7,4,6,3,4,2,66.7,3.67,1.83,4.17,4.27,309.67,8.85,13.9,397.0,55.3,25.9,22.6
269,5,Main,Ekko,9,12.3,0,9,9,3,6,33.3,3.11,3.44,6.89,2.9,282.89,7.61,13.4,360.0,68.2,21.2,21.9
270,5,Main,Fizz,9,12.3,5,4,1,2,2,50.0,4.0,2.0,3.75,3.88,263.5,7.37,12.4,347.0,59.6,30.8,21.5
271,5,Main,Kog'Maw,8,11.0,1,7,4,3,4,42.9,6.0,2.57,5.43,4.44,362.0,8.56,16.7,395.0,81.6,42.9,24.2
272,5,Main,Ryze,8,11.0,2,6,2,5,1,83.3,4.83,1.33,5.17,7.5,244.33,8.44,11.8,406.0,65.2,31.5,22.2
273,5,Main,Kassadin,7,9.6,0,7,3,5,2,71.4,5.29,1.86,8.0,7.15,292.29,7.48,14.5,372.0,74.4,29.6,22.0
274,5,Main,Vayne,7,9.6,1,6,5,2,4,33.3,4.33,2.83,3.83,2.88,239.5,7.47,11.8,367.0,60.5,32.1,23.2
275,5,Main,Anivia,6,8.2,0,6,2,4,2,66.7,1.5,2.67,4.0,2.06,368.67,9.29,14.8,373.0,55.0,15.0,23.2
276,5,Main,Rumble,6,8.2,1,5,1,4,1,80.0,5.8,3.0,5.8,3.87,272.2,7.88,13.6,394.0,59.8,29.9,22.2
277,5,Main,Diana,6,8.2,2,4,3,2,2,50.0,3.75,3.75,5.75,2.53,316.0,8.47,14.4,387.0,58.5,23.1,22.7
278,5,Main,Nidalee,6,8.2,3,3,3,3,0,100.0,4.0,2.0,9.33,6.67,169.33,4.31,14.8,377.0,63.5,19.0,20.2
279,5,Main,Varus,6,8.2,4,2,2,1,1,50.0,2.0,5.0,6.0,1.6,281.0,8.14,12.4,361.0,84.2,21.1,22.0
280,5,Main,Jarvan IV,5,6.8,0,5,3,4,1,80.0,2.2,3.4,10.2,3.65,132.8,3.46,11.9,310.0,74.7,13.3,17.6
