,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1064,11,Main,Cloud9,Perkz,10,3,7,30.0,3.3,2.8,5.2,3.04,313.4,8.94,14.5,413.0,14100.0,403.0,70.8,27.5,23.5
1065,11,Main,Cloud9,Vulcan,10,3,7,30.0,0.7,3.5,8.0,2.49,31.3,0.89,7.7,220.0,4800.0,138.0,72.5,5.8,12.5
1066,11,Main,Cloud9,Zven,10,3,7,30.0,2.4,2.9,4.5,2.38,328.0,9.36,14.2,406.0,13900.0,397.0,57.5,20.0,23.1
1067,11,Main,DetonatioN_FocusMe,Aria,6,0,6,0.0,2.33,2.17,3.33,2.62,243.83,7.81,11.2,357.0,13200.0,424.0,75.6,31.1,22.8
1068,11,Main,DetonatioN_FocusMe,Evi,6,0,6,0.0,1.67,4.17,3.0,1.12,218.17,6.99,10.4,333.0,11800.0,377.0,62.2,22.2,21.3
1069,11,Main,DetonatioN_FocusMe,Gaeng,6,0,6,0.0,0.33,3.83,3.67,1.04,31.33,1.0,6.4,204.0,4200.0,135.0,53.3,4.4,13.0
1070,11,Main,DetonatioN_FocusMe,Steal,6,0,6,0.0,1.17,4.0,3.0,1.04,160.33,5.14,9.1,292.0,7100.0,228.0,55.6,15.6,18.6
1071,11,Main,DetonatioN_FocusMe,Yutapon,6,0,6,0.0,2.0,2.67,2.0,1.5,284.0,9.1,11.9,380.0,11900.0,382.0,53.3,26.7,24.3
1072,11,Main,DWG_KIA,BeryL,19,14,5,73.7,1.16,2.32,8.74,4.27,44.84,1.29,8.7,250.0,6000.0,172.0,64.6,7.6,13.7
1073,11,Main,DWG_KIA,Canyon,19,14,5,73.7,2.89,1.79,6.84,5.44,179.47,5.18,11.5,331.0,8700.0,252.0,63.6,18.9,18.1
1074,11,Main,DWG_KIA,Ghost,19,14,5,73.7,3.79,1.58,5.37,5.8,303.0,8.74,14.6,422.0,16200.0,468.0,59.8,24.7,23.1
1075,11,Main,DWG_KIA,Khan,19,14,5,73.7,3.53,2.89,5.95,3.27,297.58,8.58,14.5,418.0,17600.0,509.0,61.9,23.0,22.9
1076,11,Main,DWG_KIA,ShowMaker,19,14,5,73.7,3.95,1.42,6.58,7.41,285.53,8.24,14.1,406.0,17500.0,504.0,68.7,25.8,22.2
1077,11,Main,EDward_Gaming,Flandre,21,13,8,61.9,2.67,2.52,4.33,2.77,305.24,9.32,13.9,426.0,17200.0,527.0,56.8,21.6,23.6
1078,11,Main,EDward_Gaming,JieJie,21,13,8,61.9,2.24,2.48,7.38,3.88,169.86,5.19,10.6,324.0,8700.0,265.0,78.0,18.1,18.0
1079,11,Main,EDward_Gaming,Meiko,21,13,8,61.9,0.67,1.95,8.95,4.93,25.52,0.78,7.7,236.0,5000.0,153.0,78.0,5.4,13.1
1080,11,Main,EDward_Gaming,Scout,21,13,8,61.9,3.29,1.81,5.19,4.68,279.33,8.53,13.1,399.0,13900.0,426.0,68.7,26.6,22.1
1081,11,Main,EDward_Gaming,Viper,21,13,8,61.9,3.48,1.95,4.95,4.32,302.24,9.23,13.7,418.0,15800.0,481.0,68.3,28.2,23.2
1082,11,Main,Fnatic,Adam,6,1,5,16.7,4.33,6.5,5.0,1.44,287.17,7.62,14.8,394.0,20400.0,541.0,59.6,27.7,22.4
1083,11,Main,Fnatic,BEAN,6,1,5,16.7,4.0,3.67,5.33,2.55,302.0,8.01,14.8,394.0,19200.0,508.0,59.6,25.5,22.4
1084,11,Main,Fnatic,Bwipo,6,1,5,16.7,3.67,5.0,8.67,2.47,232.67,6.17,13.3,354.0,16600.0,439.0,78.7,23.4,20.1
1085,11,Main,Fnatic,Hylissang,6,1,5,16.7,0.5,7.83,10.83,1.45,34.67,0.92,8.5,226.0,7100.0,188.0,72.3,3.2,12.8
1086,11,Main,Fnatic,Nisqy,6,1,5,16.7,3.17,4.83,7.83,2.28,297.83,7.9,14.8,392.0,20000.0,532.0,70.2,20.2,22.3
1087,11,Main,FunPlus_Phoenix,Crisp,7,2,5,28.6,0.86,2.86,4.71,1.95,30.71,0.92,7.2,215.0,2900.0,88.0,61.9,9.5,12.6
1088,11,Main,FunPlus_Phoenix,Doinb,7,2,5,28.6,1.57,2.86,3.86,1.9,302.29,9.04,13.6,406.0,11400.0,343.0,60.3,17.5,23.7
1089,11,Main,FunPlus_Phoenix,Lwx,7,2,5,28.6,3.0,2.86,2.43,1.9,314.14,9.4,13.7,410.0,9700.0,290.0,60.3,33.3,24.0
1090,11,Main,FunPlus_Phoenix,Nuguri,7,2,5,28.6,2.14,4.0,3.14,1.32,277.14,8.29,12.4,372.0,16100.000000000002,481.0,58.7,23.8,21.7
1091,11,Main,FunPlus_Phoenix,Tian,7,2,5,28.6,1.43,3.29,4.0,1.65,179.0,5.36,10.3,308.0,5700.0,171.0,60.3,15.9,18.0
1092,11,Main,Gen_2e-G,Bdd,16,10,6,62.5,3.25,2.5,6.25,3.8,287.81,7.98,14.0,389.0,19500.0,540.0,67.3,23.0,21.6
1093,11,Main,Gen_2e-G,Clid,16,10,6,62.5,3.25,3.06,6.44,3.16,183.0,5.07,11.7,326.0,10500.0,292.0,68.6,23.0,18.1
1094,11,Main,Gen_2e-G,Life,16,10,6,62.5,1.19,2.44,9.31,4.31,24.75,0.69,8.4,234.0,4800.0,134.0,74.3,8.4,13.0
1095,11,Main,Gen_2e-G,Ruler,16,10,6,62.5,3.5,1.56,5.69,5.88,340.0,9.43,16.0,443.0,16200.0,450.0,65.0,24.8,24.7
1096,11,Main,Gen_2e-G,Rascal,13,8,5,61.5,2.85,2.54,3.92,2.67,311.46,8.72,14.5,407.0,13000.0,364.0,49.4,20.8,22.8
1097,11,Main,Gen_2e-G,Burdol,3,2,1,66.7,3.33,6.33,5.0,1.32,293.33,7.8,15.0,399.0,14800.0,393.0,52.1,20.8,21.7
1098,11,Main,Hanwha_Life_Esports,Chovy,10,4,6,40.0,3.5,2.3,5.4,3.87,322.1,9.03,14.9,418.0,21000.0,589.0,70.6,27.8,24.1
1099,11,Main,Hanwha_Life_Esports,Deft,10,4,6,40.0,4.0,2.3,4.7,3.78,315.1,8.84,14.6,409.0,20200.0,565.0,69.0,31.7,23.6
1100,11,Main,Hanwha_Life_Esports,Morgan,10,4,6,40.0,1.8,3.2,6.3,2.53,275.3,7.72,13.2,369.0,12600.0,353.0,64.3,14.3,21.3
1101,11,Main,Hanwha_Life_Esports,Vsta,10,4,6,40.0,0.8,3.1,8.1,2.87,35.9,1.01,8.0,224.0,4800.0,134.0,70.6,6.3,12.9
1102,11,Main,Hanwha_Life_Esports,Willer,10,4,6,40.0,2.5,2.8,6.4,3.18,184.4,5.17,11.1,311.0,7900.0,221.0,70.6,19.8,18.0
1103,11,Main,LNG_Esports,Ale,7,3,4,42.9,3.43,2.86,4.14,2.65,274.86,8.68,13.0,411.0,13600.0,430.0,60.2,27.3,23.4
1104,11,Main,LNG_Esports,icon,7,3,4,42.9,3.86,3.14,4.0,2.5,268.86,8.49,12.4,392.0,12200.0,384.0,62.5,30.7,22.3
1105,11,Main,LNG_Esports,Iwandy,7,3,4,42.9,0.71,2.0,7.0,3.86,32.0,1.01,7.1,225.0,3200.0,101.0,61.4,5.7,12.8
1106,11,Main,LNG_Esports,Light,7,3,4,42.9,2.86,1.0,5.0,7.86,306.86,9.69,13.4,422.0,17300.0,545.0,62.5,22.7,24.0
1107,11,Main,LNG_Esports,Tarzan,7,3,4,42.9,1.71,1.57,6.29,5.09,167.71,5.3,9.8,309.0,7500.0,237.0,63.6,13.6,17.6
1108,11,Main,MAD_Lions,Armut,11,4,7,36.4,3.18,4.18,5.55,2.09,287.64,7.76,14.3,387.0,15700.0,424.0,57.5,21.0,21.7
1109,11,Main,MAD_Lions,Carzzy,11,4,7,36.4,3.91,3.45,5.36,2.68,328.55,8.86,15.6,420.0,18700.0,503.0,61.1,25.7,23.5
1110,11,Main,MAD_Lions,Elyoya,11,4,7,36.4,3.0,4.0,7.73,2.68,198.0,5.34,12.2,330.0,9900.0,267.0,70.7,19.8,18.5
1111,11,Main,MAD_Lions,Humanoid,11,4,7,36.4,4.18,3.82,6.0,2.67,330.27,8.91,15.5,419.0,21000.0,567.0,67.1,27.5,23.5
1112,11,Main,MAD_Lions,Kaiser,11,4,7,36.4,0.91,3.09,10.18,3.59,32.73,0.88,8.5,229.0,5900.0,159.0,73.1,6.0,12.8
1113,11,Main,PSG_Talon,Hanabi,6,3,3,50.0,5.83,3.0,6.33,4.06,310.5,8.44,16.1,438.0,21100.0,574.0,78.5,37.6,24.9
1114,11,Main,PSG_Talon,Kaiwing,6,3,3,50.0,0.5,2.17,10.33,5.0,26.67,0.73,8.1,219.0,8000.0,217.0,69.9,3.2,12.5
1115,11,Main,PSG_Talon,Maple,6,3,3,50.0,4.33,2.67,5.0,3.5,293.17,7.97,14.2,386.0,16600.0,451.0,60.2,28.0,21.9
1116,11,Main,PSG_Talon,River,6,3,3,50.0,2.5,3.0,8.5,3.67,203.83,5.54,12.1,330.0,11500.0,313.0,71.0,16.1,18.8
1117,11,Main,PSG_Talon,Unified,6,3,3,50.0,2.33,2.0,5.67,4.0,305.17,8.3,14.2,387.0,14500.0,395.0,51.6,15.1,22.0
1118,11,Main,Rogue__28-European_Team_29-,Hans sama,8,3,5,37.5,4.13,1.88,4.63,4.67,364.5,9.85,16.2,438.0,17300.0,467.0,66.0,31.1,25.0
1119,11,Main,Rogue__28-European_Team_29-,Inspired,8,3,5,37.5,3.25,3.13,5.75,2.88,199.88,5.4,12.0,323.0,11300.0,305.0,67.9,24.5,18.5
1120,11,Main,Rogue__28-European_Team_29-,Larssen,8,3,5,37.5,3.13,2.38,4.63,3.26,319.75,8.64,14.8,399.0,12300.0,333.0,58.5,23.6,22.8
1121,11,Main,Rogue__28-European_Team_29-,Odoamne,8,3,5,37.5,2.0,3.25,4.25,1.92,294.75,7.97,13.6,368.0,18100.0,490.0,47.2,15.1,21.1
1122,11,Main,Rogue__28-European_Team_29-,Trymbi,8,3,5,37.5,0.75,3.88,9.5,2.65,28.13,0.76,8.2,220.0,5400.0,147.0,77.4,5.7,12.6
1123,11,Main,Royal_Never_Give_Up,Cryin,12,7,5,58.3,2.58,2.33,9.5,5.18,236.17,6.89,12.6,367.0,14500.0,422.0,74.4,15.9,20.4
1124,11,Main,Royal_Never_Give_Up,GALA,12,7,5,58.3,4.25,1.75,4.83,5.19,319.67,9.33,14.9,434.0,16400.0,479.0,55.9,26.2,24.1
1125,11,Main,Royal_Never_Give_Up,Ming,12,7,5,58.3,1.17,3.75,8.75,2.64,35.42,1.03,8.0,232.0,4600.0,133.0,61.0,7.2,12.9
