,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
576,8,Play in,Ascension_Gaming,Niksar,4,0,4,0.0,1.5,2.75,2.5,1.45,223.5,8.12,9.2,333.0,55.2,20.7,21.3
577,8,Play in,Ascension_Gaming,Rich,4,0,4,0.0,0.5,4.0,4.25,1.19,42.75,1.55,5.8,212.0,65.5,6.9,13.6
578,8,Play in,Ascension_Gaming,Rockky,4,0,4,0.0,1.25,2.25,2.0,1.44,236.5,8.59,9.5,345.0,44.8,17.2,22.1
579,8,Play in,Cloud9,Jensen,9,7,2,77.8,2.89,1.78,6.78,5.44,302.0,9.28,13.4,410.0,69.6,20.8,21.8
580,8,Play in,Cloud9,Licorice,9,7,2,77.8,2.33,2.0,7.11,4.72,280.56,8.62,12.8,394.0,68.0,16.8,20.9
581,8,Play in,Cloud9,Sneaky,9,7,2,77.8,4.44,1.56,5.0,6.07,305.78,9.4,14.9,457.0,68.0,32.0,24.3
582,8,Play in,Cloud9,Zeyzal,9,7,2,77.8,0.44,2.44,9.67,4.14,31.33,0.96,8.1,249.0,72.8,3.2,13.2
583,8,Play in,Cloud9,Blaber,6,5,1,83.3,3.67,2.83,6.17,3.47,197.83,5.71,12.7,368.0,72.0,26.8,19.7
584,8,Play in,Cloud9,Svenskeren,3,2,1,66.7,4.0,1.67,8.0,7.2,166.67,5.9,11.0,389.0,83.7,27.9,20.1
585,8,Play in,DetonatioN_FocusMe,Ceros,8,2,6,25.0,1.25,3.0,4.0,1.75,249.38,7.98,10.8,346.0,62.7,14.9,20.9
586,8,Play in,DetonatioN_FocusMe,Evi,8,2,6,25.0,1.75,2.75,4.5,2.27,234.63,7.5,10.9,348.0,74.6,20.9,21.1
587,8,Play in,DetonatioN_FocusMe,Steal,8,2,6,25.0,1.88,3.38,3.5,1.59,151.38,4.84,9.7,310.0,64.2,22.4,18.8
588,8,Play in,DetonatioN_FocusMe,viviD,8,2,6,25.0,0.5,3.13,5.0,1.76,45.25,1.45,7.3,233.0,65.7,6.0,14.1
589,8,Play in,DetonatioN_FocusMe,Yutapon,8,2,6,25.0,3.0,2.38,3.0,2.53,295.0,9.44,13.0,417.0,71.6,35.8,25.2
590,8,Play in,Dire_Wolves,BioPanther,4,1,3,25.0,1.5,2.0,2.0,1.75,264.5,8.36,10.9,345.0,45.2,19.4,20.5
591,8,Play in,Dire_Wolves,Cupcake,4,1,3,25.0,0.75,2.0,4.75,2.75,72.5,2.29,8.1,256.0,71.0,9.7,15.2
592,8,Play in,Dire_Wolves,k1ng,4,1,3,25.0,2.25,3.25,3.75,1.85,323.5,10.23,13.0,410.0,77.4,29.0,24.4
593,8,Play in,Dire_Wolves,Triple,4,1,3,25.0,1.75,3.5,4.5,1.79,282.25,8.92,11.6,367.0,80.6,22.6,21.8
594,8,Play in,Dire_Wolves,UDYSOF,2,1,1,50.0,1.5,2.0,4.0,2.75,161.5,4.8,10.5,311.0,68.8,18.8,17.6
595,8,Play in,Dire_Wolves,Shernfire,2,0,2,0.0,1.5,5.0,4.5,1.2,136.0,4.59,8.7,295.0,80.0,20.0,18.6
596,8,Play in,EDward_Gaming,iBoy,7,6,1,85.7,4.86,1.57,4.57,6.0,280.0,10.23,13.3,487.0,55.5,28.6,24.0
597,8,Play in,EDward_Gaming,Meiko,7,6,1,85.7,1.0,0.86,8.57,11.17,43.29,1.58,7.9,288.0,56.3,5.9,14.2
598,8,Play in,EDward_Gaming,Ray,7,6,1,85.7,3.0,0.86,5.29,9.67,247.57,9.04,11.8,432.0,48.7,17.6,21.3
599,8,Play in,EDward_Gaming,Scout,7,6,1,85.7,5.57,1.14,5.43,9.63,261.14,9.54,12.7,462.0,64.7,32.8,22.8
600,8,Play in,EDward_Gaming,Clearlove,4,4,0,100.0,2.5,0.5,6.25,17.5,142.0,5.25,9.8,363.0,52.2,14.9,17.4
601,8,Play in,EDward_Gaming,Haro,3,2,1,66.7,2.67,2.33,7.0,4.14,153.33,5.51,10.1,362.0,55.8,15.4,18.4
602,8,Play in,G_2d-Rex,Candy,8,7,1,87.5,3.75,2.25,7.63,5.06,280.13,8.53,13.2,403.0,65.5,21.6,22.0
603,8,Play in,G_2d-Rex,Empt2y,8,7,1,87.5,2.88,1.38,9.13,8.73,152.0,4.63,10.9,333.0,69.1,16.5,18.2
604,8,Play in,G_2d-Rex,Koala,8,7,1,87.5,2.0,2.63,10.38,4.71,35.13,1.07,8.5,258.0,71.2,11.5,14.1
605,8,Play in,G_2d-Rex,PK,8,7,1,87.5,1.88,2.25,9.13,4.89,234.0,7.12,11.6,353.0,63.3,10.8,19.3
606,8,Play in,G_2d-Rex,Stitch,8,7,1,87.5,6.88,1.63,5.63,7.69,337.0,10.26,15.9,484.0,71.9,39.6,26.4
607,8,Play in,G2_Esports,Hjarnan,9,7,2,77.8,4.89,0.78,5.22,13.0,336.44,10.06,15.6,466.0,68.4,33.1,24.4
608,8,Play in,G2_Esports,Jankos,9,7,2,77.8,2.78,1.56,7.67,6.71,182.67,5.46,11.7,351.0,70.7,18.8,18.4
609,8,Play in,G2_Esports,Perkz,9,7,2,77.8,2.56,2.56,7.0,3.74,310.67,9.29,13.7,411.0,64.7,17.3,21.5
610,8,Play in,G2_Esports,Wadid,9,7,2,77.8,0.56,2.22,9.89,4.7,44.67,1.34,8.3,249.0,70.7,3.8,13.0
611,8,Play in,G2_Esports,Wunder,9,7,2,77.8,4.0,1.22,4.22,6.73,318.0,9.51,14.5,434.0,55.6,27.1,22.7
612,8,Play in,Gambit_Esports,Diamondprox,9,4,5,44.4,2.11,3.11,5.44,2.43,161.33,5.21,9.9,320.0,71.6,20.0,19.3
613,8,Play in,Gambit_Esports,Edward,9,4,5,44.4,0.89,3.0,6.78,2.56,41.11,1.33,7.4,239.0,72.6,8.4,14.4
614,8,Play in,Gambit_Esports,Kira,9,4,5,44.4,3.0,2.33,4.11,3.05,251.11,8.11,11.4,369.0,67.4,28.4,22.2
615,8,Play in,Gambit_Esports,Lodik,9,4,5,44.4,2.67,1.67,4.78,4.47,276.33,8.93,12.1,391.0,70.5,25.3,23.5
616,8,Play in,Gambit_Esports,PvPStejos,9,4,5,44.4,1.89,2.44,4.67,2.68,225.44,7.28,10.7,344.0,62.1,17.9,20.7
617,8,Play in,INFINITY,Arce,8,3,5,37.5,0.38,3.0,7.88,2.75,60.75,1.78,8.3,244.0,76.7,3.5,14.4
618,8,Play in,INFINITY,Cotopaco,8,3,5,37.5,2.88,3.5,4.88,2.21,279.0,8.16,12.8,376.0,72.1,26.7,22.2
619,8,Play in,INFINITY,Relic,8,3,5,37.5,1.25,2.5,3.88,2.05,261.38,7.64,11.5,336.0,47.7,11.6,19.9
620,8,Play in,INFINITY,Renyu,8,3,5,37.5,4.0,2.13,4.13,3.82,318.38,9.31,14.3,417.0,75.6,37.2,24.6
621,8,Play in,INFINITY,SolidSnake,8,3,5,37.5,2.25,3.63,6.0,2.28,174.0,5.09,10.9,319.0,76.7,20.9,18.9
622,8,Play in,KaBuM_21-_Esports,dyNquedo,5,1,4,20.0,2.6,1.8,2.0,2.56,271.6,8.83,11.3,368.0,57.5,32.5,21.9
623,8,Play in,KaBuM_21-_Esports,Ranger,5,1,4,20.0,0.8,2.2,5.0,2.64,162.0,5.27,9.6,311.0,72.5,10.0,18.5
624,8,Play in,KaBuM_21-_Esports,Riyev,5,1,4,20.0,0.6,2.6,4.2,1.85,40.4,1.31,7.2,234.0,60.0,7.5,14.0
625,8,Play in,KaBuM_21-_Esports,Titan,5,1,4,20.0,2.4,2.4,3.4,2.42,303.8,9.88,12.5,407.0,72.5,30.0,24.3
626,8,Play in,KaBuM_21-_Esports,Zantins,5,1,4,20.0,1.6,3.2,2.0,1.13,257.0,8.36,11.0,357.0,45.0,20.0,21.3
627,8,Play in,Kaos_Latin_Gamers,Fix,4,0,4,0.0,1.75,3.25,2.0,1.15,266.5,8.84,11.5,382.0,46.9,21.9,23.7
628,8,Play in,Kaos_Latin_Gamers,Nate,4,0,4,0.0,2.5,3.0,2.25,1.58,254.0,8.42,11.1,368.0,59.4,31.3,22.8
629,8,Play in,Kaos_Latin_Gamers,Plugo,4,0,4,0.0,2.0,3.25,2.25,1.31,240.0,7.96,10.3,341.0,53.1,25.0,21.1
